"FoG_taxon_uid","lower","upper"
"203",-9000,-8700
"2030",0,900
"2031",0,1500
"2032",0,1800
"2033",0,1800
"2035",0,600
"2036",0,1200
"2037",0,900
"2038",0,1800
"2039",0,2400
"204",1800,2400
"2040",0,1500
"2041",1200,2100
"2042",600,900
"2043",0,300
"2044",0,1200
"2046",0,300
"2047",-9000,-8700
"2048",900,2400
"2049",1500,2100
"205",1200,2100
"2050",0,1200
"2051",0,300
"2052",0,300
"2053",0,300
"2054",900,1200
"2056",600,900
"2057",0,1800
"2058",300,1200
"2059",0,900
"206",900,1200
"2060",0,1500
"2061",0,1500
"2062",0,2100
"2063",0,300
"2064",0,2400
"2065",1500,2700
"2066",0,600
"2067",600,900
"2068",-9000,-8700
"2070",0,300
"2071",0,2400
"2072",0,1500
"2073",0,900
"2075",0,1800
"2076",900,1200
"2077",600,1800
"2078",600,1500
"208",1200,2100
"2080",0,900
"2081",1800,2400
"2082",300,1200
"2083",600,1500
"2084",1200,2100
"2085",600,1500
"2086",1200,1500
"2087",0,1500
"2089",600,2700
"209",600,900
"2090",0,2400
"2091",0,300
"2092",0,1800
"2093",0,1500
"2094",0,1500
"2095",-9000,-8700
"2096",0,300
"2097",0,2400
"2098",0,2100
"2099",1200,1500
"21",0,600
"210",0,600
"2100",900,1200
"2101",0,1200
"2102",300,2100
"2103",0,2400
"2104",0,2100
"2105",0,300
"2107",0,600
"2108",0,300
"211",300,600
"2110",0,1500
"2111",0,1800
"2113",-9000,-8700
"2115",600,1200
"2116",0,900
"2117",0,1500
"2118",0,2100
"2119",0,2400
"212",0,600
"2120",300,1500
"2121",600,1200
"2122",0,900
"2124",0,300
"2125",0,600
"2126",-9000,-8700
"2127",0,300
"2128",0,300
"2129",-9000,-8700
"213",0,900
"2130",900,1200
"2131",0,300
"2132",900,1200
"2134",-9000,-8700
"2135",0,1500
"2136",0,1800
"2137",-9000,-8700
"2138",0,300
"2139",-9000,-8700
"214",300,1200
"2140",0,1800
"2141",0,600
"2142",0,1200
"2143",0,1800
"2144",0,1200
"2145",0,900
"2146",-9000,-8700
"2147",0,900
"215",0,1800
"2159",0,300
"216",0,1800
"2160",0,900
"2161",0,600
"2163",0,900
"2164",0,300
"2166",0,2100
"2169",0,1500
"217",0,2100
"2170",0,2100
"2171",0,1800
"2172",300,2100
"2173",0,300
"2174",0,2100
"2175",1800,2100
"2176",600,1800
"2177",0,900
"2178",600,2700
"2179",0,2100
"218",300,1500
"2180",0,2400
"2181",0,1800
"2182",0,300
"2183",0,300
"2184",0,300
"2185",0,300
"2187",0,300
"2188",0,900
"2189",0,300
"219",0,900
"2190",0,300
"2192",0,300
"2196",0,300
"2197",-9000,-8700
"2198",0,300
"22",300,1800
"220",0,300
"2200",0,900
"2201",0,300
"2204",0,2400
"2205",0,900
"2206",0,1200
"2207",0,900
"2209",300,1800
"221",0,1200
"2210",300,600
"2212",300,1500
"2213",300,2100
"2214",0,300
"2215",0,300
"2216",0,1200
"2217",0,2100
"2218",0,2400
"2219",0,300
"222",900,2100
"2220",0,2400
"2222",-9000,-8700
"2223",1200,1800
"2224",-9000,-8700
"2225",900,2700
"2226",1200,2100
"2227",600,900
"2228",300,600
"2229",900,1500
"223",0,900
"2230",-9000,-8700
"2232",0,1500
"2233",0,2100
"2234",600,2400
"2235",0,300
"2237",0,600
"2238",0,1500
"2239",900,2100
"224",-9000,-8700
"2240",900,1200
"2241",0,900
"2242",0,1200
"2243",0,900
"2244",600,900
"2245",300,1800
"2246",900,2100
"2247",0,2700
"2248",300,1500
"2249",1200,2100
"225",0,2100
"2250",0,2100
"2251",0,1200
"2253",0,1200
"2255",0,600
"2257",0,600
"226",0,600
"2261",0,300
"2262",0,1200
"2263",0,900
"2264",0,1500
"2265",0,1500
"2266",0,2700
"2267",0,900
"2268",0,1800
"2269",0,900
"227",300,1800
"2270",0,2400
"2272",0,1200
"2273",0,300
"2274",1200,1500
"2276",300,1500
"2278",300,2100
"2279",600,1500
"228",0,300
"2283",0,1200
"2284",0,300
"2285",0,2400
"2286",600,2700
"2287",1800,2100
"2288",1200,1500
"229",0,900
"2290",0,1800
"2291",0,900
"2292",0,1500
"2294",-9000,-8700
"2295",300,600
"2296",0,300
"2299",0,300
"23",0,2100
"230",0,300
"2300",0,300
"2302",0,1200
"2303",0,300
"2304",0,1800
"2305",600,1800
"2306",0,300
"2307",300,2100
"2308",0,1200
"2309",600,2100
"231",0,300
"2310",300,1800
"2311",-9000,-8700
"2312",300,2400
"2313",-9000,-8700
"2314",1500,2400
"2315",300,1500
"2316",0,1800
"2317",0,2100
"2318",0,300
"232",0,1200
"2320",1800,2100
"2321",1200,2400
"2322",300,600
"2323",600,900
"2325",-9000,-8700
"2327",900,1800
"2329",-9000,-8700
"2331",300,900
"2332",0,300
"2333",0,1200
"2334",-9000,-8700
"2335",1800,2400
"2336",1800,2400
"2337",1500,2100
"2339",0,1500
"234",0,900
"2340",0,900
"2341",1500,1800
"2342",300,2400
"2343",300,1500
"2344",300,1800
"2345",0,900
"2346",0,2400
"2347",0,300
"2348",0,300
"2349",900,1500
"235",300,1200
"2350",1500,2100
"2351",300,900
"2353",1500,2700
"2356",-9000,-8700
"2357",300,600
"2358",1200,1500
"2359",300,2100
"236",0,1500
"2360",0,300
"2361",0,300
"2362",0,1200
"2363",1200,2400
"2364",0,2100
"2365",0,600
"2366",0,1500
"2367",0,300
"2368",600,900
"2369",300,600
"237",0,2400
"2370",2100,2700
"2371",300,600
"2372",1200,2400
"2373",600,1800
"2374",1800,2400
"2375",0,1500
"2376",0,1500
"2377",0,300
"2378",0,300
"2379",600,2100
"2380",300,1800
"2381",0,1800
"2382",0,2100
"2384",0,600
"2385",0,2400
"2386",0,1800
"2387",0,2100
"2388",0,300
"2389",0,300
"2390",0,1500
"2391",0,1500
"2392",-9000,-8700
"2394",0,300
"2395",0,300
"2396",0,900
"2397",0,300
"2398",0,1200
"2399",0,600
"24",0,2100
"240",0,2100
"2400",0,1200
"2402",1200,2400
"2403",0,2100
"2404",600,2700
"2406",0,1200
"2408",0,2100
"241",0,2100
"2411",600,1500
"2412",1200,2400
"2413",900,2100
"2415",300,1500
"2416",900,2400
"2417",1500,1800
"2418",300,2700
"2419",0,300
"2420",0,1800
"2422",600,2400
"2423",0,1800
"2424",600,1500
"2425",0,2100
"2426",0,1500
"2427",0,900
"2428",1500,1800
"2429",1200,1800
"2430",1800,2400
"2431",1200,1500
"2432",1500,2100
"2433",1500,2400
"2434",1200,1800
"2435",0,1800
"2436",1200,1800
"2438",1200,1800
"2439",0,300
"244",0,300
"2440",900,1200
"2441",0,2100
"2442",600,2100
"2443",0,2400
"2444",300,1800
"2445",600,2700
"2446",1500,1800
"2448",0,2100
"245",0,300
"2450",0,300
"2451",0,900
"2452",0,1800
"2453",0,900
"2454",0,1500
"2455",0,300
"2456",0,1200
"2457",0,300
"2458",0,300
"2459",0,300
"246",600,900
"2460",0,300
"2461",0,300
"2462",-9000,-8700
"2463",0,300
"2464",300,1500
"2465",0,900
"2466",0,900
"2467",0,2700
"2468",0,1800
"2469",0,300
"247",300,1500
"2470",1500,1800
"2471",0,600
"2472",0,1200
"2473",0,900
"2474",300,2100
"2475",0,900
"2476",600,900
"2477",0,300
"2478",0,1200
"248",0,600
"2480",0,300
"2481",0,1500
"2482",0,1200
"2485",0,1800
"2486",0,300
"2488",300,2700
"249",-9000,-8700
"2490",0,1200
"2492",0,1200
"2493",0,1500
"2494",0,300
"2495",0,300
"2498",300,600
"2499",0,600
"25",0,1500
"250",0,600
"2500",0,2100
"2501",0,300
"2502",300,600
"2503",0,1800
"2504",0,600
"2506",0,1200
"2507",300,1800
"2508",0,300
"251",-9000,-8700
"2510",900,1200
"2511",0,300
"2512",0,300
"2513",0,300
"2514",0,1200
"2515",300,1500
"2516",0,300
"2517",0,600
"2519",0,300
"252",-9000,-8700
"2520",0,300
"2521",0,300
"2522",0,1200
"2523",0,300
"2524",0,300
"2526",0,300
"2527",0,300
"2528",0,300
"2529",0,1800
"2530",600,1200
"2532",1800,2700
"2533",1200,2100
"2534",0,2100
"2536",0,300
"2537",600,900
"2538",0,2400
"2539",600,2400
"2540",0,1800
"2541",0,1500
"2542",0,2100
"2543",0,2400
"2544",0,1500
"2545",900,2100
"2546",0,1800
"2547",0,300
"2548",300,600
"2549",1200,1500
"2550",0,1800
"2551",0,300
"2552",1500,2400
"2553",600,1800
"2554",1200,1500
"2555",-9000,-8700
"2556",-9000,-8700
"2557",900,1200
"2558",0,2100
"2559",-9000,-8700
"256",0,1200
"2560",1200,1500
"2561",-9000,-8700
"2562",0,2100
"2564",300,1800
"2565",900,1200
"2566",600,1500
"2567",600,900
"2569",900,1200
"257",0,1500
"2571",900,1800
"2572",300,600
"2573",1200,1800
"2574",0,1800
"2575",900,1200
"2576",1200,1500
"2577",0,1200
"2578",0,1500
"2579",0,1200
"258",300,600
"2581",0,1200
"2582",-9000,-8700
"2585",0,900
"2587",-9000,-8700
"2589",0,1200
"259",-9000,-8700
"2590",0,1800
"2591",1200,1800
"2592",0,2100
"2594",0,1500
"2595",900,2700
"2596",0,300
"2597",2100,2400
"2598",0,900
"26",0,600
"260",0,1200
"2600",2100,3000
"2601",1200,2400
"2603",0,900
"2606",1200,1500
"2607",900,1200
"2608",600,1800
"2609",1800,2100
"2610",300,1500
"2611",600,2100
"2612",300,1500
"2613",0,600
"2614",0,300
"2615",900,2400
"2617",0,2400
"2618",0,300
"2619",0,900
"262",0,900
"2625",300,1500
"2626",0,900
"2627",0,900
"2628",0,300
"2629",600,900
"263",0,900
"2630",0,600
"2631",300,2100
"2632",-9000,-8700
"2633",0,1800
"2636",0,300
"2637",0,300
"2638",900,1800
"2639",0,600
"264",-9000,-8700
"2640",300,900
"2641",0,1800
"2642",600,2400
"2643",600,900
"2644",0,300
